Airport List,,,,,,,,
,,,,,,,,
Airport,,Hub,Airport Category,City,State,Airport Hub Division,Area,Airport Federalized Flag
ABE,Lehigh Valley International,PHL,II,Allentown,PA,Northeast,Surface Region 2,Y
CVN,Clovis Regional,ABQ,IV,Texico,NM,Western,Surface Region 4,Y
ABQ,Albuquerque International Sunport,ABQ,I,Albuquerque,NM,Western,Surface Region 4,Y
FMN,Four Corners Regional,ABQ,IV,Farmington,NM,Western,Surface Region 4,Y
HOB,Lea County Regional,ABQ,IV,Lovington,NM,Western,Surface Region 4,Y
ROW,Roswell Air Center,ABQ,III,Roswell,NM,Western,Surface Region 4,Y
SAF,Santa Fe Municipal,ABQ,III,Santa Fe,NM,Western,Surface Region 4,Y
ART,Watertown International,ALB,IV,Dexter,NY,Northeast,Surface Region 1,Y
ACY,Atlantic City International,EWR,II,Pleasantville,NJ,Northeast,Surface Region 1,Y
BGM,Greater Binghamton/Edwin A Link Field,ALB,III,Johnson City,NY,Northeast,Surface Region 1,Y
ELM,Elmira/Corning Regional,ALB,III,Horseheads,NY,Northeast,Surface Region 1,Y
IAG,Niagara Falls International,ALB,III,Niagara Falls,NY,Northeast,Surface Region 1,Y
AGS,Augusta Regional at Bush Field,ATL,II,Augusta,GA,Southeast,Surface Region 2,Y
ITH,Ithaca Tompkins International,ALB,III,Ithaca,NY,Northeast,Surface Region 1,Y
MSS,Massena International-Richards Field,ALB,IV,Massena,NY,Northeast,Surface Region 1,Y
ALB,Albany International,ALB,I,Albany,NY,Northeast,Surface Region 1,Y
OGS,Ogdensburg International,ALB,III,Ogdensburg,NY,Northeast,Surface Region 1,Y
PBG,Plattsburgh International,ALB,III,Plattsburgh,NY,Northeast,Surface Region 1,Y
SLK,Adirondack Regional,ALB,IV,Saranac Lake,NY,Northeast,Surface Region 1,Y
AMA,Rick Husband Amarillo International,AUS,II,Amarillo,TX,Western,Surface Region 4,Y
ANC,Ted Stevens Anchorage International,ANC,I,Anchorage,AK,Western,Surface Region 5,Y
ADK,Adak,ANC,III,Adak,AK,Western,Surface Region 5,Y
ADQ,Kodiak,ANC,III,Kodiak,AK,Western,Surface Region 5,Y
AKN,King Salmon,ANC,III,King Salmon,AK,Western,Surface Region 5,Y
ASE,Aspen-Pitkin County/Sardy Field,DEN,II,Aspen,CO,Central,Surface Region 4,Y
ATL,Hartsfield - Jackson Atlanta International,ATL,X,Atlanta,GA,Southeast,Surface Region 2,Y
ATW,Appleton International,MKE,II,Appleton,WI,Central,Surface Region 3,Y
BET,Bethel,ANC,III,Bethel,AK,Western,Surface Region 5,Y
BRW,Wiley Post-Will Rogers Memorial,ANC,III,Barrow,AK,Western,Surface Region 5,Y
AUS,Austin-Bergstrom International,AUS,I,Austin,TX,Western,Surface Region 4,Y
AVL,Asheville Regional,CLT,II,Fletcher,NC,Southeast,Surface Region 2,Y
AVP,Wilkes-Barre/Scranton International,PHL,II,Avoca,PA,Northeast,Surface Region 2,Y
CDV,Merle K (Mudhole) Smith,ANC,III,Cordova,AK,Western,Surface Region 5,Y
DLG,Dillingham,ANC,III,Dillingham,AK,Western,Surface Region 5,Y
BDL,Bradley International,BDL,I,Windsor Locks,CT,Northeast,Surface Region 1,Y
GST,Gustavus,ANC,III,Gustavus,AK,Western,Surface Region 5,Y
KTN,Ketchikan International,ANC,III,Ketchikan,AK,Western,Surface Region 5,Y
OME,Nome,ANC,III,Nome,AK,Western,Surface Region 5,Y
OTZ,Ralph Wien Memorial,ANC,III,Kotzebue,AK,Western,Surface Region 5,Y
PSG,Petersburg James A Johnson,ANC,III,Petersburg,AK,Western,Surface Region 5,Y
SCC,Deadhorse,ANC,III,Prudhoe Bay,AK,Western,Surface Region 5,Y
BGR,Bangor International,PWM,II,Bangor,ME,Northeast,Surface Region 1,Y
SIT,Sitka Rocky Gutierrez,ANC,III,Sitka,AK,Western,Surface Region 5,Y
BHM,Birmingham-Shuttlesworth International,BHM,I,Birmingham,AL,Southeast,Surface Region 2,Y
WRG,Wrangell,ANC,III,Wrangell,AK,Western,Surface Region 5,Y
BIL,Billings Logan International,BIL,II,Billings,MT,Central,Surface Region 4,Y
BIS,Bismarck Municipal,BIS,II,Bismarck,ND,Central,Surface Region 4,Y
YAK,Yakutat,ANC,III,Yakutat,AK,Western,Surface Region 5,Y
ABY,Southwest Georgia Regional,ATL,III,Albany,GA,Southeast,Surface Region 2,Y
BLI,Bellingham International,SEA,II,Bellingham,WA,Western,Surface Region 5,Y
BQK,Brunswick Golden Isles,ATL,III,Brunswick,GA,Southeast,Surface Region 2,Y
CSG,Columbus,ATL,III,Columbus,GA,Southeast,Surface Region 2,Y
BNA,Nashville International,BNA,I,Nashville,TN,Southeast,Surface Region 2,Y
BOI,Boise Air Terminal/Gowen Field,BOI,I,Boise,ID,Western,Surface Region 5,Y
BOS,General Edward Lawrence Logan International,BOS,X,East Boston,MA,Northeast,Surface Region 1,Y
MCN,Middle Georgia Regional,ATL,IV,Macon,GA,Southeast,Surface Region 2,Y
VLD,Valdosta Regional,ATL,III,Valdosta,GA,Southeast,Surface Region 2,Y
BQN,Rafael Hernandez,SJU,II,Aguadilla,PR,Southeast,Surface Region 2,Y
ACT,Waco Regional,AUS,III,Waco,TX,Western,Surface Region 4,Y
CLL,Easterwood Field,AUS,III,College Station,TX,Western,Surface Region 4,Y
GRK,Robert Gray AAF,AUS,III,Killeen,TX,Western,Surface Region 4,Y
SJT,San Angelo Regional/Mathis Field,AUS,III,San Angelo,TX,Western,Surface Region 4,Y
BFM,Mobile International,BHM,III,Mobile,AL,Southeast,Surface Region 2,N
BTR,"Baton Rouge Metropolitan, Ryan Field",MSY,II,Baton Rouge,LA,Southeast,Surface Region 4,Y
BTV,Burlington International,BTV,II,South Burlington,VT,Northeast,Surface Region 1,Y
BUF,Buffalo Niagara International,ALB,I,Cheektowaga,NY,Northeast,Surface Region 1,Y
BUR,Bob Hope,BUR,I,Burbank,CA,Western,Surface Region 5,Y
BWI,Baltimore/Washington International Thurgood Marshall,BWI,X,BWI Airport,MD,Northeast,Surface Region 2,Y
BZN,Bozeman Yellowstone International,BIL,II,Belgrade,MT,Central,Surface Region 4,Y
CAE,Columbia Metropolitan,CHS,II,West Columbia,SC,Southeast,Surface Region 2,Y
CAK,Akron-Canton Regional,CMH,II,North Canton,OH,Northeast,Surface Region 3,Y
DHN,Dothan Regional,BHM,III,Dothan,AL,Southeast,Surface Region 2,Y
JKA,Gulf Shores International/Jack Edwards Field,BHM,III,Gulf Shores,AL,Southeast,Surface Region 2,Y
MGM,Montgomery Regional (Dannelly Field),BHM,III,Montgomery,AL,Southeast,Surface Region 2,Y
MSL,Northwest Alabama Regional,BHM,IV,Muscle Shoals,AL,Southeast,Surface Region 2,Y
BTM,Bert Mooney,BIL,III,Butte,MT,Central,Surface Region 4,Y
GDV,Dawson Communicipalty,BIL,IV,Glendive,MT,Central,Surface Region 4,Y
GGW,Wokal Field/Glasgow-Valley County,BIL,IV,Glasgow,MT,Central,Surface Region 4,Y
CHA,Lovell Field,BNA,II,Chattanooga,TN,Southeast,Surface Region 2,Y
CHO,Charlottesville-Albemarle,IAD,II,Charlottesville,VA,Southeast,Surface Region 2,Y
CHS,Charleston AFB/International,CHS,I,Charleston,SC,Southeast,Surface Region 2,Y
CID,The Eastern Iowa,DSM,II,Cedar Rapids,IA,Central,Surface Region 3,Y
GTF,Great Falls International,BIL,III,Great Falls,MT,Central,Surface Region 4,Y
HLN,Helena Regional,BIL,III,Helena,MT,Central,Surface Region 4,Y
CLE,Cleveland-Hopkins International,CMH,I,Cleveland,OH,Northeast,Surface Region 3,Y
HVR,Havre City-County,BIL,IV,Havre,MT,Central,Surface Region 4,Y
CLT,Charlotte/Douglas International,CLT,X,Charlotte,NC,Southeast,Surface Region 2,Y
CMH,John Glenn Columbus International,CMH,I,Columbus,OH,Northeast,Surface Region 3,Y
OLF,L M Clayton,BIL,IV,Wolf Point,MT,Central,Surface Region 4,Y
SDY,Sidney-Richland Regional,BIL,IV,Sidney,MT,Central,Surface Region 4,Y
WYS,Yellowstone,BIL,IV,West Yellowstone,MT,Central,Surface Region 4,Y
DIK,Dickinson/Theodore Roosevelt Regional,BIS,IV,Dickinson,ND,Central,Surface Region 4,Y
COS,City Of Colorado Springs Municipal,DEN,II,Colorado Springs,CO,Central,Surface Region 4,Y
DVL,Devils Lake Regional,BIS,IV,Devils Lake,ND,Central,Surface Region 4,Y
GFK,Grand Forks International,BIS,III,Grand Forks,ND,Central,Surface Region 4,Y
CRP,Corpus Christi International,SAT,II,Corpus Christi,TX,Western,Surface Region 4,Y
JMS,Jamestown Regional,BIS,IV,Jamestown,ND,Central,Surface Region 4,Y
MOT,Minot International,BIS,III,Minot,ND,Central,Surface Region 4,Y
XWA,Williston Basin International,BIS,III,Williston,ND,Central,Surface Region 4,Y
CVG,Cincinnati/Northern Kentucky International,CVG,I,Hebron,KY,Northeast,Surface Region 2,Y
MKL,Mc Kellar-Sipes Regional,BNA,IV,Jackson,TN,Southeast,Surface Region 2,Y
TRI,Tri-Cities,BNA,III,Blountville,TN,Southeast,Surface Region 2,Y
LWS,Lewiston/Nez Perce County,BOI,III,Lewiston,ID,Western,Surface Region 5,Y
DAB,Daytona Beach International,MCO,II,Daytona Beach,FL,Southeast,Surface Region 2,Y
DAL,Dallas Love Field,DAL,I,Dallas,TX,Western,Surface Region 4,Y
DAY,James M Cox Dayton International,CMH,II,Dayton,OH,Northeast,Surface Region 3,Y
PIH,Pocatello Regional,BOI,III,Pocatello,ID,Western,Surface Region 5,Y
DCA,Ronald Reagan Washington National,DCA,X,Arlington,VA,Southeast,Surface Region 2,Y
SUN,Friedman Memorial,BOI,III,Hailey,ID,Western,Surface Region 5,Y
TWF,Joslin Field/Magic Valley Regional,BOI,III,Twin Falls,ID,Western,Surface Region 5,Y
DEN,Denver International,DEN,X,Denver,CO,Central,Surface Region 4,Y
DFW,Dallas-Fort Worth International,DFW,X,DFW Airport,TX,Western,Surface Region 4,Y
ACK,Nantucket Memorial,BOS,III,Nantucket,MA,Northeast,Surface Region 1,Y
CEF,Westover ARB/Metropolitan,BOS,III,Chicopee,MA,Northeast,Surface Region 1,Y
EWB,New Bedford Regional,BOS,IV,New Bedford,MA,Northeast,Surface Region 1,N
HYA,Cape Cod Gateway,BOS,III,Hyannis,MA,Northeast,Surface Region 1,Y
MVY,Martha's Vineyard,BOS,III,Vineyard Haven,MA,Northeast,Surface Region 1,Y
ORH,Worcester Regional,BOS,III,Worcester,MA,Northeast,Surface Region 1,Y
DSM,Des Moines International,DSM,I,Des Moines,IA,Central,Surface Region 3,Y
DTW,Detroit Metropolitan Wayne County,DTW,X,Detroit,MI,Northeast,Surface Region 3,Y
PVC,Provincetown Municipal,BOS,IV,Provincetown,MA,Northeast,Surface Region 1,Y
RUT,Rutland - Southern Vermont Regional,BTV,IV,North Clarendon,VT,Northeast,Surface Region 1,Y
SMX,Santa Maria Public/Capt G Allan Hancock Field,BUR,III,Santa Maria,CA,Western,Surface Region 5,Y
HGR,Hagerstown Regional/Richard A Henson Field,BWI,IV,Hagerstown,MD,Northeast,Surface Region 2,Y
