IATA,Hub
ATL,L
DFW,L
DEN,L
ORD,L
LAX,L
JFK,L
CLT,L
LAS,L
MCO,L
MIA,L
PHX,L
SEA,L
SFO,L
EWR,L
IAH,L
BOS,L
MSP,L
FLL,L
LGA,L
DTW,L
PHL,L
SLC,L
BWI,L
IAD,L
SAN,L
DCA,L
TPA,L
BNA,L
AUS,L
HNL,L
MDW,L
DAL,M
PDX,M
STL,M
RDU,M
HOU,M
SMF,M
MSY,M
SJU,M
MCI,M
SJC,M
SAT,M
RSW,M
SNA,M
OAK,M
IND,M
CLE,M
PIT,M
CVG,M
CMH,M
PBI,M
JAX,M
ONT,M
OGG,M
BUR,M
BDL,M
CHS,M
MKE,M
ANC,M
ABQ,M
OMA,M
BUF,M
BOI,M
RIC,S
ORF,S
MEM,S
RNO,S
SDF,S
OKC,S
SRQ,S
ELP,S
GRR,S
GEG,S
LGB,S
KOA,S
SAV,S
PVD,S
TUS,S
MYR,S
LIH,S
TYS,S
TUL,S
PSP,S
BHM,S
DSM,S
PNS,S
ALB,S
SYR,S
SFB,S
GSP,S
ROC,S
BZN,S
FAT,S
COS,S
PIE,S
PWM,S
HPN,S
VPS,S
MSN,S
LIT,S
XNA,S
AVL,S
GSO,S
IWA,S
PGD,S
GUM,S
ECP,S
ICT,S
EUG,S
STT,S
HSV,S
LEX,S
MAF,S
CID,S
EYW,S
ILM,S
MDT,S
SGF,S
FSD,S
SBA,S
ISP,S
ITO,S
BTV,S
CAE,S
MHT,S
MFE,S
DAY,S
JAN,S
HRL,S
RDM,S
HVN,S
FAI,S
LBB,S
CHA,S
FAR,S
ATW,S
JAC,S
MSO,S
GPI,S
MFR,S
ACY,N
PSC,N
BIL,N
TLH,N
PVU,N
SBN,N
ABE,N
JNU,N
GPT,N
FWA,N
BTR,N
RAP,N
AMA,N
TVC,N
STS,N
ROA,N
CAK,N
BGR,N
CRP,N
SBP,N
BQN,N
SHV,N
CHO,N
ASE,N
MLB,N
PIA,N
GRB,N
DAB,N
MLI,N
MOB,N
MRY,N
IDA,N
AGS,N
BIS,N
GNV,N
FNT,N
EGE,N
PAE,N
GJT,N
BLI,N
STX,N
MTJ,N
LFT,N
DRO,N
TTN,N
GSN,N
TRI,N
HDN,N
AVP,N
AEX,N
CRW,N
BFL,N
MGM,N
EVV,N
BRO,N
GTF,N
SAF,N
LRD,N
MOT,N
FAY,N
BET,N
BMI,N
SGU,N
ACK,N
BLV,N
KTN,N
OAJ,N
SWF,N
LCK,N
PSE,N
DLH,N
UNV,N
ACV,N
RFD,N
JQF,N
LNK,N
ILG,N
LAN,N
SUN,N
GRK,N
ORH,N
MBS,N
HXD,N
MLU,N
COU,N
HLN,N
PSM,N
